* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 05-13-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 01-25-2022
* Calibration Pure Dye CY5 is expired = No
* Calibration Pure Dye CY5 performed on = 01-25-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 01-25-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 01-25-2022
* Calibration Pure Dye MUSTANG PURPLE is expired = No
* Calibration Pure Dye MUSTANG PURPLE performed on = 01-25-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 01-25-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 01-25-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 01-25-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 01-25-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 01-25-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 01-25-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 01-25-2022
* Chemistry = OTHER
* Date Created = 2023-03-02 18:19:31 PM CET
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Synology\CL_Synology\Medulloblastoma\Genotyping\Genotyping\IDT\Genotyping_V146_IDT_qPCR-new_09Feb23\2023-02-09_Genotyping_v146.eds
* Experiment Name = EpiGe_TEMPLATE_QS5_V2
* Experiment Run End Time = 2023-02-09 11:09:13 AM CET
* Experiment Type = Genotyping
* Instrument Name =       272526216
* Instrument Serial Number = 272526216
* Instrument Type = QuantStudio™ 5 System
* Passive Reference = ROX
* Post-read Stage/Step = Stage 3, Step 1
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Sample Setup]
Well	Well Position	Sample Name	Sample Color	SNP Assay Name	SNP Assay Color	Task	Allele1 Name	Allele1 Color	Allele1 Reporter	Allele1 Quencher	Allele2 Name	Allele2 Color	Allele2 Reporter	Allele2 Quencher	Comments
75	G3	cg10333416_Methylated	"RGB(255,128,128)"	cg10333416	"RGB(176,23,31)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
76	G4	cg12925355_Methylated	"RGB(255,128,128)"	cg12925355	"RGB(176,23,31)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(51,161,201)"	VIC	NFQ-MGB	
77	G5	cg18849583_Methylated	"RGB(128,0,255)"	cg18849583	"RGB(142,56,142)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
78	G6	cg01268345_Methylated	"RGB(128,0,255)"	cg01268345	"RGB(142,56,142)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
79	G7														
80	G8														
81	G9														
82	G10														
83	G11														
84	G12														
85	H1	cg25542041_Methylated	"RGB(128,255,255)"	cg25542041	"RGB(51,161,201)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,0,255)"	VIC	NFQ-MGB	
86	H2	cg02227036_Methylated	"RGB(128,255,255)"	cg02227036	"RGB(51,161,201)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(176,23,31)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,0,255)"	VIC	NFQ-MGB	
87	H3	cg10333416_Methylated	"RGB(255,128,128)"	cg10333416	"RGB(176,23,31)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
88	H4	cg12925355_Methylated	"RGB(255,128,128)"	cg12925355	"RGB(176,23,31)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(51,161,201)"	VIC	NFQ-MGB	
89	H5	cg18849583_Methylated	"RGB(128,0,255)"	cg18849583	"RGB(142,56,142)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
90	H6	cg01268345_Methylated	"RGB(128,0,255)"	cg01268345	"RGB(142,56,142)"	PC_ALLELE_1	Allele 1_Methylated	"RGB(238,44,44)"	FAM	NFQ-MGB	Allele 2_Unmethylated	"RGB(0,245,255)"	VIC	NFQ-MGB	
91	H7														
92	H8														
93	H9														
94	H10														
95	H11														
96	H12														


[Raw Data]
Well	Well Position	Cycle	x1-m1	x1-m2	x2-m2	x2-m3	x3-m3	x3-m4	x4-m4	x4-m5	x5-m5	x5-m6
1	      A1	1	157,167.469	100,283.820	100,641.648	47,196.305	30,933.350	32,901.832	83,187.461	14,738.877	-2,467.891	-3,270.664
2	      A2	1	146,840.047	90,983.852	92,315.789	44,016.305	28,892.914	30,973.926	78,537.688	13,464.772	-1,003.608	-1,408.569
3	      A3	1	150,084.016	93,119.094	92,382.273	45,051.207	28,497.234	30,833.879	78,213.773	14,172.588	-1,881.775	-560.177
4	      A4	1	124,614.641	76,213.570	73,773.664	36,326.797	23,470.449	24,761.729	61,626.703	10,565.218	-1,747.581	-1,349.844
5	      A5	1	164,429.625	100,055.508	97,322.695	48,603.016	31,545.059	32,964.965	83,189.773	14,627.346	-8,079.091	-1,383.031
6	      A6	1	151,483.156	92,002.141	88,767.508	44,309.844	27,840.531	29,577.650	75,050.703	13,300.704	-2,089.175	-1,436.741
7	      A7	1	-1,713.744	-977.127	-11.751	-2.375	-564.318	-851.417	-1,605.687	265.407	-821.219	-2,060.767
8	      A8	1	4,237.794	2,494.002	448.209	811.298	175.127	776.664	1,358.993	950.582	1,802.865	-481.888
9	      A9	1	6,416.779	3,724.358	1,870.128	1,650.533	512.230	1,122.750	1,590.436	727.711	3,980.982	131.414
10	      A10	1	3,057.710	2,460.552	1,511.078	1,227.271	302.947	1,446.969	1,919.557	-21.593	-572.436	510.559
11	      A11	1	-634.583	-1,621.897	520.146	670.547	-123.175	875.539	830.599	1,057.144	3,833.063	385.334
12	      A12	1	6,213.788	1,952.171	472.764	910.895	500.048	527.118	1,169.896	503.736	1,968.104	-111.154
